date_key,full_date,year,month,day,weekday
20180620,2018-06-20,2018,6,20,2
20180921,2018-09-21,2018,9,21,4
20180228,2018-02-28,2018,2,28,2
20180223,2018-02-23,2018,2,23,4
20180422,2018-04-22,2018,4,22,6
20180318,2018-03-18,2018,3,18,6
20180114,2018-01-14,2018,1,14,6
20180412,2018-04-12,2018,4,12,3
20180401,2018-04-01,2018,4,1,6
20180907,2018-09-07,2018,9,7,4
20181118,2018-11-18,2018,11,18,6
20181129,2018-11-29,2018,11,29,3
20180329,2018-03-29,2018,3,29,3
20180224,2018-02-24,2018,2,24,5
20180121,2018-01-21,2018,1,21,6
20180103,2018-01-03,2018,1,3,2
20180313,2018-03-13,2018,3,13,1
20180207,2018-02-07,2018,2,7,2
20180202,2018-02-02,2018,2,2,4
20180707,2018-07-07,2018,7,7,5
20180405,2018-04-05,2018,4,5,3
20180330,2018-03-30,2018,3,30,4
20180110,2018-01-10,2018,1,10,2
20180404,2018-04-04,2018,4,4,2
